ANO DE REFERENCIA;RECEITAS;RECEITAS CORRENTES;RECEITA TRIBUTARIA;RECEITA DE CONTRIBUICOES;RECEITA PATRIMONIAL;RECEITA AGROPECUARIA;RECEITA INDUSTRIAL;RECEITA DE SERVICOS;TRANSFERENCIA CORRENTES;OUTRAS RECEITAS CORRENTES;RECEITAS DE CAPITAL;OPERACOES DE CREDITO;REFINANCIAMENTO;DIVIDA MOBILIARIA INTERNA;DIVIDA MOBILIARIA EXTERNA;ALIENACAO DE BENS;AMORTIZACOES DE EMPRESTIMOS;TRANSFERENCIAS DE CAPITAL;OUTRAS RECEITAS DE CAPITAL
1980;1.230.018.001.981,91;1.220.084.548.854,67;1.002.704.340.434,58;44.077.769.959,88;20.483.534.217,41;125;301.341.044,87;856.059.945,74;109.340.866.268,02;42.320.636.859,17;9.933.453.127,24;9.038.721.532,68;0;0;0;890.442.191,51;4.270.226,19;18.365,08;811,78
1981;2.351.966.128.641,43;2.334.155.881.796,08;1.929.554.371.652,01;96.475.433.458,73;40.791.925.845,83;1.110.264.020,76;376.686.126,27;29.669.355,83;160.475.853.040,92;105.341.678.295,73;17.810.246.845,35;17.152.613.153,36;0;0;0;598.046.456,43;59.576.514,06;5.159,50;5.562,00
1982;4.774.815.068.586,00;4.726.843.062.193,00;3.900.939.704.559,00;223.404.779.360,00;69.366.238.865,00;174.502.563,00;1.015.866.097,00;25.283.101,00;348.239.426.994,00;183.677.260.654,00;47.972.006.393,00;47.050.758.176,00;0;0;0;401.237.477,00;510.287.445,00;9.723.295,00;0
1983;11.779.847.503.772,00;11.577.596.571.581,00;8.836.691.236.728,00;2.400.486.179.039,00;90.480.072.785,00;1.044.350.974,00;1.941.520.065,00;51.654.235.178,00;85.684.292.314,00;109.614.684.498,00;202.250.932.191,00;200.171.563.492,00;0;0;0;1.696.971.226,00;382.397.473,00;0;0
1984;36.414.053.057.949,00;35.965.330.793.478,00;27.304.442.622.856,00;7.940.250.155.202,00;169.163.101.678,00;2.454.908.472,00;5.862.132.215,00;170.974.688.403,00;7.224.940.388,00;364.958.244.264,00;448.722.264.471,00;442.304.507.389,00;0;0;0;4.247.971.093,00;2.169.785.989,00;0;0
1985;134.851.121.866.790,00;132.601.412.469.948,00;108.222.954.792.124,00;21.905.832.136.422,00;648.452.906.683,00;5.864.482.204,00;22.111.520.936,00;679.917.845.760,00;26.115.708.753,00;1.090.163.077.066,00;2.249.709.396.842,00;2.223.477.733.560,00;0;0;0;19.520.756.602,00;6.710.906.680,00;0;0
1986;562.828.690.616,06;380.134.764.672,20;292.330.538.380,38;56.657.121.378,39;2.621.591.289,91;12.580.957,89;55.621.974,45;26.657.618.748,69;154.658.160,85;1.645.033.781,64;182.693.925.943,86;182.643.126.178,30;0;0;0;40.688.764,64;10.111.000,92;0;0
1987;1.692.405.902.040,29;1.181.508.102.692,55;866.787.941.543,61;166.154.369.295,54;3.794.483.224,19;14.470.009,95;178.249.910,39;49.628.035.856,09;1.167.097.390,46;93.783.455.462,32;510.897.799.347,74;483.088.656.489,63;0;0;0;26.255.112.572,85;67.801.285,26;0;1.486.229.000,00
1988;15.949.586.311.250,30;8.746.588.355.625,78;6.503.470.330.205,54;1.596.181.082.983,50;391.550.472.943,52;100.135.930,42;1.922.076.645,74;150.731.820.625,15;3.457.625.708,21;99.174.810.583,70;7.202.997.955.624,56;7.195.689.168.004,53;0;0;0;1.946.807.358,11;5.124.638.752,74;0;237.341.509,18
1989;515.192.685.107,71;127.382.321.051,71;82.128.139.440,18;28.489.290.200,32;12.691.136.173,51;1.318.387,19;35.069.219,69;2.433.005.983,32;44.798.621,63;1.559.563.025,87;387.810.364.056,00;359.114.530.676,84;0;0;0;16.319.402,85;69.691.852,77;821.617,00;28.609.000.506,54
